cpf;indices
016.523.497-07;37973
016.524.897-11;55336
016.527.493-06;66549
016.528.493-51;75373
016.548.392-05;44980
016.548.972-30;73231
016.572.439-07;60659,96681
016.572.849-30;86628
016.573.294-61;28913
016.578.423-71;88992
016.579.234-52;85972
016.579.843-20;19098,79480
016.582.793-95;15227
016.583.247-90;15895
016.597.382-02;28417
016.597.823-68;49429
016.724.539-25;12982
016.728.453-35;41657
016.729.435-07;39298
016.738.295-03;80710
016.738.492-96;10679
016.739.245-06;39911
016.742.958-20;26656
016.749.238-13;49848
016.752.483-62;93079
016.753.284-71;15786
016.753.942-61;37844
016.754.329-61;23858
016.758.932-68;36298
016.758.934-20;38773
016.759.348-00;97589
016.784.235-80;55081
016.789.523-03;54601
016.792.458-30;45151
016.793.824-03;36909
016.798.352-03;53814
016.824.975-85;93709
016.827.349-78;94713
016.832.594-24;61392
016.832.745-71;73074
016.837.542-71;1009
016.842.537-80;43669
016.843.957-39;12889
016.847.295-30;71860
016.853.247-62;17781
016.853.492-42;16940
016.854.379-66;50266
016.857.293-12;61763
016.857.324-53;39646
016.873.249-13;4413
016.894.273-96;19694
016.894.325-51;75087
016.895.237-86;39930
016.895.243-24;56027
016.895.324-24;46917
016.895.372-21;73638
016.923.548-33;50329
016.923.574-25;15158
016.924.875-58;2855
016.928.453-06;37413
016.932.578-40;39891
016.932.784-13;3101
016.934.782-69;16419
016.935.724-43;51351
016.935.784-84;24321
016.937.425-43;64766
016.938.247-87;69470
016.938.452-70;48637
016.942.583-51;11527
016.945.872-58;98604
016.947.835-10;85755
016.957.823-21;74549
016.958.723-12;43513
016.972.853-68;62898
016.983.754-84;36002
016.985.347-01;94519
017.234.856-08;92643
017.235.864-71;63047
017.235.984-88;10577
017.238.546-62;27982
017.239.458-97;54174
017.239.485-60;64931
017.239.654-99;8283
017.245.693-25;15756
017.245.893-50;64888
017.248.359-04;43813
017.253.469-07;79597
017.256.493-06;73320
017.259.864-85;11252
017.265.389-40;84212
017.269.453-16;49184
017.269.853-77;56835
017.283.954-88;48863
017.284.639-04;33628
017.285.649-30;97852
017.285.936-03;15063
017.286.493-31;12335
017.296.835-68;51274
017.298.543-97;10509
017.325.984-79;83157
017.329.584-32;39406
017.342.869-03;71423
017.342.958-05;65629
017.345.298-14;86641
017.346.892-69;25194
017.346.925-61;16710
017.352.469-99;59148
017.352.846-53;4837
017.354.862-80;31174
017.358.462-44;49894
017.358.942-14;72895
017.362.984-96;86575
017.364.982-31;59463
017.365.298-03;7986
017.384.256-90;90812
017.386.529-12;70506
017.386.945-93;60911
017.389.526-30;91834
017.392.458-14;77473
017.392.548-05;25493,96054
017.392.854-41;31045
017.394.685-20;181,1326
017.395.426-06;28441
017.396.842-22;71937
017.426.859-94;38024
017.429.358-50;38303
017.429.568-58;60090
017.432.695-52;10919
017.435.286-71;52241
017.435.928-41;12077
017.452.936-80;67435
017.456.289-67;35823
017.458.236-62;89346
017.458.296-01;83162
017.465.928-85;65987
017.469.325-70;59518
017.469.328-13;87004
017.469.532-25;81214
017.469.823-22;27201
017.469.852-67;17600
017.482.359-23;278
017.483.962-69;17568
017.486.532-53;44295
017.492.853-04;26900
017.492.865-30;97514
017.498.635-10;73166
017.526.943-25;55366
017.536.824-44;24938
017.539.268-40;32720
017.539.682-59;33072
017.542.936-70;18389
017.543.269-43;71308
017.546.289-58;96271
017.549.362-61;57568
017.562.398-86;4602
017.563.289-86;96920
017.563.942-61;76039
017.568.432-44;45419
017.569.243-25;97019
017.583.246-35;63744
017.586.492-67;31485
017.592.638-77;19407
017.593.428-23;67667
017.594.362-16;55694
017.598.436-01;83951
017.598.462-01;60518
017.598.643-66;50672
017.628.395-12;68745
017.629.845-20;46021
017.635.842-08;52783
017.642.938-78;60920
017.643.598-01;19607
017.648.352-71;80260
017.648.592-94;18078
017.648.925-85;78119
017.649.358-10;209
017.654.329-52;56973
017.654.983-84;94056
017.682.954-76;70733
017.683.429-03;15423
017.683.924-04;6044
017.689.423-31;6138
017.689.543-48;53147
017.693.825-77;37696
017.695.842-85;33535
017.823.456-71;56699
017.823.465-62;85636
017.824.365-53;99945
017.826.395-86;34761
017.829.463-22;66808
017.834.596-20;35798
017.834.625-07;61906
017.836.459-20;36154
017.839.254-50;90865
017.842.563-07;94001
017.842.953-88;39034
017.843.269-50;9855
017.843.592-97;45637
017.845.369-20;92182
017.845.932-14;82714
017.846.253-53;85551
017.846.259-49;11039
017.846.329-96;12274
017.849.623-50;94002
017.862.593-03;87641
017.862.943-03;60107
017.863.592-86;21172
017.892.356-77;51847
017.892.465-20;91974
017.893.425-97;79100
017.896.452-20;55275
017.923.456-07;99907
017.923.564-80;50922,72811
017.923.586-95;81743
017.928.436-31;42715
017.932.854-97;14170
017.934.625-34;79374
017.935.824-32;19002
017.936.485-57;88219
017.938.456-20;83474
017.942.356-80;11546
017.942.635-43;43132
017.943.256-70;74914
017.948.536-93;85299
017.952.346-52;52924
017.952.643-06;20202
017.953.684-20;34270
017.953.824-14;14965
017.963.582-40;87123
017.965.483-75;35914
017.965.823-95;49569
017.982.354-04;58329
017.984.653-10;37322
017.985.632-40;30421
018.235.679-59;62511
018.245.963-24;62117
018.254.673-07;77269
018.256.934-98;96330
018.256.937-30;9344
018.257.394-04;56467
018.259.436-05;94106
018.263.794-87;52396,90735
018.263.945-24;77033
018.264.395-60;84512
018.264.759-58;33834
018.265.943-70;48843
018.267.934-96;38741
018.275.469-30;95451
018.275.634-35;3412
018.275.639-40;31950
018.294.367-40;54727
018.294.375-50;73359
018.294.673-87;40841
018.295.634-24;55629
018.324.956-98;43501
018.346.729-96;45865
018.354.792-60;67275
018.354.967-84;310
018.356.497-93;55254
018.356.927-02;88949
018.364.752-17;38292
018.365.942-24;95771
018.365.947-39;26115
018.369.275-68;34721
018.369.754-57;42845
018.372.659-68;33086
018.374.965-01;62114
018.375.492-14;7422
018.375.649-57;82903
018.376.952-02;93589
018.392.675-77;69351
018.395.247-23;32350
018.397.625-86;70814
018.423.569-33;64624
018.423.597-97;84804
018.427.596-20;8115
018.429.356-15;46208
018.429.653-60;45523
018.435.267-35;35354
018.435.926-06;73961
018.437.962-87;44858
018.452.976-01;61405
018.453.629-42;30139
018.457.362-90;74939
018.465.729-67;84878
018.469.527-94;14836
018.479.356-48;39203
018.479.523-05;53715
018.523.694-42;65399
018.526.943-51;94058
018.543.296-42;69914
018.546.327-44;19921
018.562.473-17;32882
018.563.497-48;99390
018.569.743-75;95282
018.573.462-62;66499
018.574.926-76;31605
018.576.239-59;69921
018.576.243-35;58756
018.576.329-40;13380
018.576.394-48;49864
018.592.763-77;6164
018.593.246-06;63479
018.593.627-02;47671
018.594.273-32;92156
018.594.736-01;59460
018.596.734-57;24043
018.597.362-03;42756
018.597.426-02;58416
018.623.749-96;7499
018.624.937-31;37113
018.627.945-02;29842
018.632.457-07;22157
018.632.597-59;96805
018.635.297-21;69031
018.637.249-31;47933
018.642.379-96;21003
018.643.259-33;24318
018.643.752-80;40155
018.643.925-33;56505
018.643.927-03;71972
018.647.923-96;64413
018.673.524-35;52637
018.673.925-77;48355
018.679.435-57;57199
018.692.354-60;65131
018.693.524-24;93324
018.695.234-15;76812
018.695.243-06;28012
018.697.432-96;57067
018.723.546-53;30123
018.723.594-50;8453
018.725.364-17;77889
018.725.946-11;51414
018.732.456-53;95959
018.734.956-84;68969
018.735.629-77;52966
018.736.295-59;77083
018.736.459-10;38135
018.736.594-66;92441
018.742.963-40;68168
018.743.956-75;33746
018.743.962-13;26519
018.743.965-66;31157
018.749.635-84;882
018.752.934-50;82867
018.753.269-95;38191
018.753.694-57;37250
018.753.924-32;36099
018.756.392-68;14848
018.759.236-59;80625
018.764.539-66;1496
018.792.634-40;27394
018.793.524-60;5260
018.796.253-77;48323
018.923.746-50;15834
018.923.756-21;44843
018.924.756-85;61483
018.925.643-51;80810
018.934.765-10;92725
018.943.657-39;36832
018.946.527-11;26019
018.947.356-84;89128
018.953.247-50;43323
018.953.476-10;27983
018.953.642-05;28461
018.956.342-70;40566
018.962.357-86;88842
018.964.275-02;59948
018.965.732-40;29540
018.973.654-20;32249
019.236.547-99;5577
019.237.456-70;28354
019.248.375-79;84949
019.253.764-43;10647
019.254.376-80;7996
019.254.783-60;77531
019.256.387-40;52882
019.257.863-40;97069
019.263.458-51;12090
019.263.785-12;70241
019.265.734-80;29894
019.265.874-30;81062
019.275.364-99;87873
019.278.345-97;87918
019.283.754-05;30877
019.285.374-05;82345
019.286.354-15;47947
019.325.647-99;79751
019.326.587-77;83015
019.326.847-78;73250
019.327.865-03;51460
019.342.657-99;8063
019.345.786-57;63696
019.346.875-10;83616
019.347.825-05;22439
019.352.864-98;1947
019.354.862-33;18347
019.358.476-00;72317
019.358.627-40;99819
019.365.824-06;12011
019.375.286-77;85952
019.375.684-66;28676
019.376.258-77;88852
019.384.567-93;59395
019.386.257-30;77522
019.423.786-96;4118
019.425.673-16;81270
019.425.687-11;39759
019.432.758-23;39606
019.436.528-05;2680
019.437.625-70;18660
019.437.685-01;93113
019.456.732-06;58442
019.458.367-84;98658
019.462.538-98;97896
019.462.875-20;55152
019.465.783-39;40587
019.468.732-50;1199
019.472.365-80;77232
019.483.762-96;53039
019.485.736-01;49394
019.486.352-24;21646
019.487.536-93;95110
019.524.763-99;48113
019.524.867-85;41940
019.526.387-12;96087
019.526.748-67;23505
019.527.863-12;75558
019.534.728-50;91977
019.543.786-10;99583
019.563.248-60;28579
019.563.428-42;27387
019.567.234-80;33451
019.572.836-02;59654
019.573.248-05;43861
019.587.264-94;14257
019.587.426-94;4666
019.587.463-39;71743
019.624.875-20;9681,79286
019.627.385-40;21127
019.634.528-60;20318
019.638.427-31;80635
019.643.827-69;92470
019.645.382-89;92988
019.647.238-50;78465
019.672.453-80;37186
019.673.528-95;67827
019.682.357-95;42637
019.682.475-30;92035
019.684.327-87;21912
019.687.234-04;31038
019.687.432-78;47522
019.723.465-80;90098
019.725.364-43;60565
019.725.638-40;52510
019.734.586-75;47429
019.735.624-99;66912
019.736.254-07;99015
019.736.284-22;50498
019.745.863-75;68756
019.752.386-21;24186
019.753.628-02;44072
019.754.362-61;13792
019.754.862-85;50633
019.758.423-32;27050
019.758.426-85;412
019.763.524-52;59279
019.765.324-34;75292
019.768.253-77;12071
019.768.523-40;19910
019.782.653-95;69795
019.783.462-04;74864
019.784.563-01;15197
019.786.243-87;81309
019.786.425-20;90562
019.823.457-05;32355
019.823.547-04;97158
019.827.643-50;51462
019.832.567-30;79843
019.832.574-60;60016
019.835.762-12;45489
019.842.673-96;64968
019.843.652-15;2618
019.845.637-93;14105
019.847.265-01;84163
019.847.362-13;71949
019.852.346-70;74046
019.854.273-97;86913
019.854.276-30;79894
019.857.436-39;80580
019.862.453-06;6701
019.865.374-39;52506
019.867.435-00;95982
019.873.642-87;79573
019.873.652-59;47007
019.874.253-32;7641,53075
019.874.532-04;22505
019.874.623-78;19817
019.876.243-78;43341
021.345.678-80;6145
021.345.976-07;86661
021.346.587-62;90764
021.347.695-99;45245
021.356.987-68;3894
021.357.984-79;81244
021.369.758-03;55765
021.369.784-03;94637
021.374.658-17;11896
021.375.486-07;13811
021.375.864-44;60758
021.375.946-25;62409
021.375.986-12;10382
021.387.695-77;95087
021.387.964-69;29792
021.437.598-60;76786
021.439.568-51;1468
021.439.678-96;58892
021.456.783-44;33270
021.457.689-20;67564
021.459.837-32;60186
021.465.789-20;68403
021.467.589-02;80465
021.467.935-70;69313
021.468.539-05;92802
021.475.896-67;36289
021.478.936-50;97123
021.487.693-40;2801
021.497.683-13;17519
021.534.687-44;3120
021.534.867-26;5733
021.538.967-03;63217
021.539.478-04;28373
021.543.687-35;8745
021.549.768-67;74905
021.567.943-16;46580
021.567.983-03;10315
021.568.349-89;68069
021.568.937-21;34878
021.578.396-40;30942
021.584.936-15;35336
021.584.963-98;60315
021.586.437-90;27231
021.586.439-51;62527
021.597.683-59;98470
021.645.893-51;12225
021.647.589-94;29317
021.648.759-58;23644
021.648.793-50;33460
021.648.937-78;65619
021.649.835-05;84535
021.653.487-90;34592
021.654.798-94;76820
021.657.389-03;10093
021.674.985-94;13884
021.684.753-26;43995
021.698.745-85;59175
021.735.496-34;67754
021.736.548-53;4483
021.736.845-07;46746
021.738.956-21;67451
021.743.695-16;95585
021.745.983-88;74785
021.746.859-49;44171
021.749.653-99;62404
021.749.853-14;12783
021.753.684-08;30557
021.756.938-21;12168
021.759.368-21;46048
021.764.953-06;4642
021.786.394-96;83631
021.786.534-80;21903
021.793.685-77;12069
021.794.835-97;74131
021.795.364-61;60835
021.843.597-50;60825
021.843.756-08;39158
021.843.796-03;21616
021.847.956-58;92390
021.853.476-08;88630
021.853.769-77;50085
021.857.436-35;87092
021.857.643-90;81987
021.865.379-40;36822
021.867.495-30;15022
021.873.654-17;47399
021.876.439-13;47881
021.895.467-02;34494
021.895.643-60;49621
021.896.753-59;51438
021.937.854-14;20435
021.938.456-89;1224
021.943.568-51;8788
021.943.865-05;50970
021.948.376-04;72244
021.953.648-15;31361
021.953.786-03;36597
021.963.458-06;17891
021.963.547-16;32687
021.964.735-61;11234
021.974.653-25;20413
021.974.658-30;40317
021.975.386-59;7392
021.978.465-58;18844
021.984.357-05;25043
021.985.764-49;43655
021.986.354-70;40625
021.987.635-59;8672
023.148.597-23;85633
023.148.657-07;82560
023.156.974-25;55515
023.159.467-43;44851
023.164.895-24;94501
023.165.479-07;75204
023.165.894-05;961
023.167.485-62;61
023.167.549-61;63506
023.168.957-86;54487
023.169.457-16;90089
023.175.649-61;85495
023.175.689-59;9052
023.178.459-79;3495
023.179.465-70;27549
023.194.578-79;45527
023.194.756-99;25813
